,precision,recall,f1-score,support
0,0.441,1.0,0.612,311.0
1,0.0,0.0,0.0,1190.0
2,0.0,0.0,0.0,16.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,494.0
7,0.0,0.0,0.0,99.0
8,0.0,0.0,0.0,153.0
9,0.897,0.175,0.292,3979.0
10,0.0,0.0,0.0,757.0
11,0.368,0.965,0.533,1041.0
12,0.527,0.989,0.688,4377.0
accuracy,0.51,0.51,0.51,0.51
macro avg,0.186,0.261,0.177,12421.0
weighted avg,0.515,0.51,0.396,12421.0
