,precision,recall,f1-score,support
High,0.993,1.0,0.996,566.0
Low,1.0,0.992,0.996,2293.0
Medium,0.999,1.0,0.999,9562.0
accuracy,0.998,0.998,0.998,0.998
macro avg,0.997,0.997,0.997,12421.0
weighted avg,0.998,0.998,0.998,12421.0
